# Canada (CAN)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Jesse Marsch

# Formato: archivo | dorsal | nombre | pos | partidos | goles

can-dayne-st-clair.png | #1 | Dayne St. Clair | GK | 20 pj | 0 goles
can-alistair-johnston.png | #2 | Alistair Johnston | DF | 58 pj | 1 goles
can-alfie-jones.png | #3 | Alfie Jones | DF | 2 pj | 0 goles
can-luc-de-fougerolles.png | #4 | Luc de Fougerolles | DF | 13 pj | 0 goles
can-joel-waterman.png | #5 | Joel Waterman | DF | 17 pj | 0 goles
can-mathieu-choiniere.png | #6 | Mathieu Choinière | MF | 23 pj | 0 goles
can-stephen-eustaquio.png | #7 | Stephen Eustáquio | MF | 56 pj | 4 goles
can-ismael-kone.png | #8 | Ismaël Koné | MF | 40 pj | 4 goles
can-cyle-larin.png | #9 | Cyle Larin | FW | 90 pj | 30 goles
can-jonathan-david.png | #10 | Jonathan David | FW | 77 pj | 39 goles
can-liam-millar.png | #11 | Liam Millar | MF | 41 pj | 1 goles
can-tani-oluwaseyi.png | #12 | Tani Oluwaseyi | FW | 24 pj | 2 goles
can-derek-cornelius.png | #13 | Derek Cornelius | DF | 44 pj | 1 goles
can-jacob-shaffelburg.png | #14 | Jacob Shaffelburg | MF | 31 pj | 6 goles
can-moise-bombito.png | #15 | Moïse Bombito | DF | 20 pj | 0 goles
can-maxime-crepeau.png | #16 | Maxime Crépeau | GK | 32 pj | 0 goles
can-tajon-buchanan.png | #17 | Tajon Buchanan | FW | 60 pj | 8 goles
can-owen-goodman.png | #18 | Owen Goodman | GK | 0 pj | 0 goles
can-alphonso-davies.png | #19 | Alphonso Davies (C) | DF | 58 pj | 15 goles
can-ali-ahmed.png | #20 | Ali Ahmed | FW | 24 pj | 1 goles
can-jonathan-osorio.png | #21 | Jonathan Osorio | MF | 90 pj | 10 goles
can-richie-laryea.png | #22 | Richie Laryea | DF | 75 pj | 1 goles
can-niko-sigur.png | #23 | Niko Sigur | DF | 19 pj | 2 goles
can-promise-david.png | #24 | Promise David | FW | 10 pj | 3 goles
can-nathan-saliba.png | #25 | Nathan Saliba | MF | 15 pj | 2 goles
can-jayden-nelson.png | #26 | Jayden Nelson | FW | 14 pj | 3 goles

# Solo nombres (pegar en generador):

Dayne St. Clair
Alistair Johnston
Alfie Jones
Luc de Fougerolles
Joel Waterman
Mathieu Choinière
Stephen Eustáquio
Ismaël Koné
Cyle Larin
Jonathan David
Liam Millar
Tani Oluwaseyi
Derek Cornelius
Jacob Shaffelburg
Moïse Bombito
Maxime Crépeau
Tajon Buchanan
Owen Goodman
Alphonso Davies
Ali Ahmed
Jonathan Osorio
Richie Laryea
Niko Sigur
Promise David
Nathan Saliba
Jayden Nelson
