# DR Congo (COD)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Sébastien Desabre

# Formato: archivo | dorsal | nombre | pos | partidos | goles

cod-lionel-mpasi.png | #1 | Lionel Mpasi | GK | 29 pj | 0 goles
cod-aaron-wan-bissaka.png | #2 | Aaron Wan-Bissaka | DF | 12 pj | 0 goles
cod-steve-kapuadi.png | #3 | Steve Kapuadi | DF | 4 pj | 0 goles
cod-axel-tuanzebe.png | #4 | Axel Tuanzebe | DF | 14 pj | 1 goles
cod-dylan-batubinsika.png | #5 | Dylan Batubinsika | DF | 14 pj | 1 goles
cod-ngal-ayel-mukau.png | #6 | Ngal'ayel Mukau | MF | 14 pj | 0 goles
cod-nathanael-mbuku.png | #7 | Nathanaël Mbuku | MF | 19 pj | 2 goles
cod-samuel-moutoussamy.png | #8 | Samuel Moutoussamy | MF | 58 pj | 0 goles
cod-brian-cipenga.png | #9 | Brian Cipenga | FW | 8 pj | 0 goles
cod-theo-bongonda.png | #10 | Théo Bongonda | MF | 38 pj | 7 goles
cod-gael-kakuta.png | #11 | Gaël Kakuta | FW | 31 pj | 5 goles
cod-joris-kayembe.png | #12 | Joris Kayembe | DF | 26 pj | 1 goles
cod-meschak-elia.png | #13 | Meschak Elia | FW | 69 pj | 12 goles
cod-noah-sadiki.png | #14 | Noah Sadiki | MF | 20 pj | 0 goles
cod-aaron-tshibola.png | #15 | Aaron Tshibola | MF | 17 pj | 1 goles
cod-timothy-fayulu.png | #16 | Timothy Fayulu | GK | 3 pj | 0 goles
cod-cedric-bakambu.png | #17 | Cédric Bakambu | FW | 70 pj | 21 goles
cod-charles-pickel.png | #18 | Charles Pickel | MF | 34 pj | 1 goles
cod-fiston-mayele.png | #19 | Fiston Mayele | FW | 37 pj | 6 goles
cod-yoane-wissa.png | #20 | Yoane Wissa | FW | 38 pj | 9 goles
cod-matthieu-epolo.png | #21 | Matthieu Epolo | GK | 1 pj | 0 goles
cod-chancel-mbemba.png | #22 | Chancel Mbemba (C) | DF | 109 pj | 7 goles
cod-simon-banza.png | #23 | Simon Banza | FW | 15 pj | 2 goles
cod-gedeon-kalulu.png | #24 | Gédéon Kalulu | DF | 28 pj | 0 goles
cod-edo-kayembe.png | #25 | Edo Kayembe | MF | 43 pj | 2 goles
cod-arthur-masuaku.png | #26 | Arthur Masuaku | DF | 45 pj | 4 goles

# DT (caricatura — sin dorsal en plantel FIFA)

cod-sebastien-desabre.png | — | Sébastien Desabre | DT

# Solo nombres (pegar en generador):

Lionel Mpasi
Aaron Wan-Bissaka
Steve Kapuadi
Axel Tuanzebe
Dylan Batubinsika
Ngal'ayel Mukau
Nathanaël Mbuku
Samuel Moutoussamy
Brian Cipenga
Théo Bongonda
Gaël Kakuta
Joris Kayembe
Meschak Elia
Noah Sadiki
Aaron Tshibola
Timothy Fayulu
Cédric Bakambu
Charles Pickel
Fiston Mayele
Yoane Wissa
Matthieu Epolo
Chancel Mbemba
Simon Banza
Gédéon Kalulu
Edo Kayembe
Arthur Masuaku
