# Curaçao (CUW)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Dick Advocaat

# Formato: archivo | dorsal | nombre | pos | partidos | goles

cuw-eloy-room.png | #1 | Eloy Room | GK | 71 pj | 0 goles
cuw-shurandy-sambo.png | #2 | Shurandy Sambo | DF | 8 pj | 0 goles
cuw-jurien-gaari.png | #3 | Juriën Gaari | DF | 60 pj | 1 goles
cuw-roshon-van-eijma.png | #4 | Roshon van Eijma | DF | 28 pj | 1 goles
cuw-sherel-floranus.png | #5 | Sherel Floranus | DF | 28 pj | 0 goles
cuw-godfried-roemeratoe.png | #6 | Godfried Roemeratoe | MF | 28 pj | 1 goles
cuw-juninho-bacuna.png | #7 | Juninho Bacuna | MF | 49 pj | 15 goles
cuw-livano-comenencia.png | #8 | Livano Comenencia | MF | 20 pj | 2 goles
cuw-jurgen-locadia.png | #9 | Jürgen Locadia | FW | 13 pj | 1 goles
cuw-leandro-bacuna.png | #10 | Leandro Bacuna (C) | MF | 72 pj | 16 goles
cuw-jeremy-antonisse.png | #11 | Jeremy Antonisse | FW | 27 pj | 4 goles
cuw-sontje-hansen.png | #12 | Sontje Hansen | FW | 6 pj | 1 goles
cuw-tyrese-noslin.png | #13 | Tyrese Noslin | FW | 7 pj | 1 goles
cuw-kenji-gorre.png | #14 | Kenji Gorré | FW | 38 pj | 6 goles
cuw-ar-jany-martha.png | #15 | Ar'jany Martha | MF | 9 pj | 2 goles
cuw-jearl-margaritha.png | #16 | Jearl Margaritha | FW | 22 pj | 5 goles
cuw-brandley-kuwas.png | #17 | Brandley Kuwas | FW | 35 pj | 2 goles
cuw-armando-obispo.png | #18 | Armando Obispo | DF | 6 pj | 0 goles
cuw-gervane-kastaneer.png | #19 | Gervane Kastaneer | FW | 29 pj | 9 goles
cuw-joshua-brenet.png | #20 | Joshua Brenet | DF | 18 pj | 2 goles
cuw-tahith-chong.png | #21 | Tahith Chong | MF | 6 pj | 3 goles
cuw-kevin-felida.png | #22 | Kevin Felida | MF | 19 pj | 1 goles
cuw-riechedly-bazoer.png | #23 | Riechedly Bazoer | DF | 5 pj | 0 goles
cuw-deveron-fonville.png | #24 | Deveron Fonville | DF | 2 pj | 0 goles
cuw-tyrick-bodak.png | #25 | Tyrick Bodak | GK | 4 pj | 0 goles
cuw-trevor-doornbusch.png | #26 | Trevor Doornbusch | GK | 8 pj | 0 goles

# Solo nombres (pegar en generador):

Eloy Room
Shurandy Sambo
Juriën Gaari
Roshon van Eijma
Sherel Floranus
Godfried Roemeratoe
Juninho Bacuna
Livano Comenencia
Jürgen Locadia
Leandro Bacuna
Jeremy Antonisse
Sontje Hansen
Tyrese Noslin
Kenji Gorré
Ar'jany Martha
Jearl Margaritha
Brandley Kuwas
Armando Obispo
Gervane Kastaneer
Joshua Brenet
Tahith Chong
Kevin Felida
Riechedly Bazoer
Deveron Fonville
Tyrick Bodak
Trevor Doornbusch
