# Czech Republic (CZE)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Miroslav Koubek

# Formato: archivo | dorsal | nombre | pos | partidos | goles

cze-matej-kovar.png | #1 | Matěj Kovář | GK | 20 pj | 0 goles
cze-david-zima.png | #2 | David Zima | DF | 25 pj | 1 goles
cze-tomas-holes.png | #3 | Tomáš Holeš | DF | 41 pj | 2 goles
cze-robin-hranac.png | #4 | Robin Hranáč | DF | 14 pj | 1 goles
cze-vladimir-coufal.png | #5 | Vladimír Coufal | DF | 62 pj | 2 goles
cze-stepan-chaloupek.png | #6 | Štěpán Chaloupek | DF | 5 pj | 0 goles
cze-ladislav-krejci.png | #7 | Ladislav Krejčí (C) | DF | 27 pj | 5 goles
cze-vladimir-darida.png | #8 | Vladimír Darida | MF | 79 pj | 8 goles
cze-adam-hlozek.png | #9 | Adam Hložek | FW | 43 pj | 5 goles
cze-patrik-schick.png | #10 | Patrik Schick | FW | 53 pj | 26 goles
cze-jan-kuchta.png | #11 | Jan Kuchta | FW | 31 pj | 3 goles
cze-lukas-cerv.png | #12 | Lukáš Červ | MF | 17 pj | 2 goles
cze-mojmir-chytil.png | #13 | Mojmír Chytil | FW | 22 pj | 6 goles
cze-david-jurasek.png | #14 | David Jurásek | DF | 18 pj | 1 goles
cze-pavel-sulc.png | #15 | Pavel Šulc | FW | 21 pj | 5 goles
cze-jindrich-stanek.png | #16 | Jindřich Staněk | GK | 14 pj | 0 goles
cze-lukas-provod.png | #17 | Lukáš Provod | MF | 38 pj | 3 goles
cze-michal-sadilek.png | #18 | Michal Sadílek | MF | 35 pj | 1 goles
cze-tomas-chory.png | #19 | Tomáš Chorý | FW | 22 pj | 7 goles
cze-jaroslav-zeleny.png | #20 | Jaroslav Zelený | DF | 23 pj | 0 goles
cze-david-doudera.png | #21 | David Douděra | DF | 17 pj | 2 goles
cze-tomas-soucek.png | #22 | Tomáš Souček | MF | 90 pj | 17 goles
cze-lukas-hornicek.png | #23 | Lukáš Horníček | GK | 1 pj | 0 goles
cze-alexandr-sojka.png | #24 | Alexandr Sojka | MF | 2 pj | 0 goles
cze-hugo-sochurek.png | #25 | Hugo Sochůrek | MF | 1 pj | 0 goles
cze-denis-visinsky.png | #26 | Denis Višinský | FW | 2 pj | 1 goles

# Solo nombres (pegar en generador):

Matěj Kovář
David Zima
Tomáš Holeš
Robin Hranáč
Vladimír Coufal
Štěpán Chaloupek
Ladislav Krejčí
Vladimír Darida
Adam Hložek
Patrik Schick
Jan Kuchta
Lukáš Červ
Mojmír Chytil
David Jurásek
Pavel Šulc
Jindřich Staněk
Lukáš Provod
Michal Sadílek
Tomáš Chorý
Jaroslav Zelený
David Douděra
Tomáš Souček
Lukáš Horníček
Alexandr Sojka
Hugo Sochůrek
Denis Višinský
