# Ecuador (ECU)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Sebastián Beccacece

# Formato: archivo | dorsal | nombre | pos | partidos | goles

ecu-hernan-galindez.png | #1 | Hernán Galíndez | GK | 35 pj | 0 goles
ecu-felix-torres.png | #2 | Félix Torres | DF | 49 pj | 5 goles
ecu-piero-hincapie.png | #3 | Piero Hincapié | DF | 52 pj | 3 goles
ecu-joel-ordonez.png | #4 | Joel Ordóñez | DF | 17 pj | 0 goles
ecu-jordy-alcivar.png | #5 | Jordy Alcívar | MF | 11 pj | 1 goles
ecu-willian-pacho.png | #6 | Willian Pacho | DF | 34 pj | 2 goles
ecu-pervis-estupinan.png | #7 | Pervis Estupiñán | DF | 54 pj | 5 goles
ecu-anthony-valencia.png | #8 | Anthony Valencia | MF | 3 pj | 1 goles
ecu-john-yeboah.png | #9 | John Yeboah | FW | 23 pj | 3 goles
ecu-kendry-paez.png | #10 | Kendry Páez | MF | 26 pj | 2 goles
ecu-kevin-rodriguez.png | #11 | Kevin Rodríguez | FW | 31 pj | 2 goles
ecu-moises-ramirez.png | #12 | Moisés Ramírez | GK | 7 pj | 0 goles
ecu-enner-valencia.png | #13 | Enner Valencia (C) | FW | 105 pj | 49 goles
ecu-alan-minda.png | #14 | Alan Minda | MF | 20 pj | 2 goles
ecu-pedro-vite.png | #15 | Pedro Vite | MF | 17 pj | 1 goles
ecu-jordy-caicedo.png | #16 | Jordy Caicedo | FW | 20 pj | 4 goles
ecu-angelo-preciado.png | #17 | Ángelo Preciado | DF | 55 pj | 0 goles
ecu-denil-castillo.png | #18 | Denil Castillo | MF | 5 pj | 0 goles
ecu-gonzalo-plata.png | #19 | Gonzalo Plata | FW | 50 pj | 8 goles
ecu-nilson-angulo.png | #20 | Nilson Angulo | FW | 14 pj | 2 goles
ecu-alan-franco.png | #21 | Alan Franco | MF | 58 pj | 1 goles
ecu-gonzalo-valle.png | #22 | Gonzalo Valle | GK | 4 pj | 0 goles
ecu-moises-caicedo.png | #23 | Moisés Caicedo | MF | 61 pj | 3 goles
ecu-jeremy-arevalo.png | #24 | Jeremy Arévalo | FW | 4 pj | 0 goles
ecu-jackson-porozo.png | #25 | Jackson Porozo | DF | 10 pj | 1 goles
ecu-yaimar-medina.png | #26 | Yaimar Medina | DF | 6 pj | 0 goles

# Solo nombres (pegar en generador):

Hernán Galíndez
Félix Torres
Piero Hincapié
Joel Ordóñez
Jordy Alcívar
Willian Pacho
Pervis Estupiñán
Anthony Valencia
John Yeboah
Kendry Páez
Kevin Rodríguez
Moisés Ramírez
Enner Valencia
Alan Minda
Pedro Vite
Jordy Caicedo
Ángelo Preciado
Denil Castillo
Gonzalo Plata
Nilson Angulo
Alan Franco
Gonzalo Valle
Moisés Caicedo
Jeremy Arévalo
Jackson Porozo
Yaimar Medina
