# Haiti (HAI)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Sébastien Migné

# Formato: archivo | dorsal | nombre | pos | partidos | goles

hai-johny-placide.png | #1 | Johny Placide (C) | GK | 82 pj | 0 goles
hai-carlens-arcus.png | #2 | Carlens Arcus | DF | 56 pj | 1 goles
hai-keeto-thermoncy.png | #3 | Keeto Thermoncy | DF | 1 pj | 0 goles
hai-ricardo-ade.png | #4 | Ricardo Adé | DF | 59 pj | 2 goles
hai-hannes-delcroix.png | #5 | Hannes Delcroix | DF | 7 pj | 0 goles
hai-carl-sainte.png | #6 | Carl Sainté | MF | 26 pj | 0 goles
hai-derrick-etienne-jr.png | #7 | Derrick Etienne Jr. | FW | 51 pj | 8 goles
hai-martin-experience.png | #8 | Martin Expérience | DF | 21 pj | 0 goles
hai-duckens-nazon.png | #9 | Duckens Nazon | FW | 82 pj | 44 goles
hai-jean-ricner-bellegarde.png | #10 | Jean-Ricner Bellegarde | MF | 10 pj | 0 goles
hai-louicius-deedson.png | #11 | Louicius Deedson | FW | 32 pj | 10 goles
hai-alexandre-pierre.png | #12 | Alexandre Pierre | GK | 16 pj | 0 goles
hai-duke-lacroix.png | #13 | Duke Lacroix | DF | 16 pj | 3 goles
hai-garven-metusala.png | #14 | Garven Metusala | DF | 16 pj | 0 goles
hai-ruben-providence.png | #15 | Ruben Providence | FW | 15 pj | 3 goles
hai-lenny-joseph.png | #16 | Lenny Joseph | FW | 2 pj | 1 goles
hai-danley-jean-jacques.png | #17 | Danley Jean Jacques | MF | 31 pj | 6 goles
hai-wilson-isidor.png | #18 | Wilson Isidor | FW | 4 pj | 2 goles
hai-yassin-fortune.png | #19 | Yassin Fortuné | FW | 4 pj | 0 goles
hai-frantzdy-pierrot.png | #20 | Frantzdy Pierrot | FW | 51 pj | 34 goles
hai-josue-casimir.png | #21 | Josué Casimir | FW | 7 pj | 0 goles
hai-jean-kevin-duverne.png | #22 | Jean-Kévin Duverne | DF | 17 pj | 1 goles
hai-josue-duverger.png | #23 | Josué Duverger | GK | 7 pj | 0 goles
hai-wilguens-paugain.png | #24 | Wilguens Paugain | DF | 8 pj | 0 goles
hai-dominique-simon.png | #25 | Dominique Simon | MF | 2 pj | 0 goles
hai-woodensky-pierre.png | #26 | Woodensky Pierre | MF | 1 pj | 0 goles

# Solo nombres (pegar en generador):

Johny Placide
Carlens Arcus
Keeto Thermoncy
Ricardo Adé
Hannes Delcroix
Carl Sainté
Derrick Etienne Jr.
Martin Expérience
Duckens Nazon
Jean-Ricner Bellegarde
Louicius Deedson
Alexandre Pierre
Duke Lacroix
Garven Metusala
Ruben Providence
Lenny Joseph
Danley Jean Jacques
Wilson Isidor
Yassin Fortuné
Frantzdy Pierrot
Josué Casimir
Jean-Kévin Duverne
Josué Duverger
Wilguens Paugain
Dominique Simon
Woodensky Pierre
