# Iraq (IRQ)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Graham Arnold

# Formato: archivo | dorsal | nombre | pos | partidos | goles

irq-fahad-talib.png | #1 | Fahad Talib | GK | 21 pj | 0 goles
irq-rebin-sulaka.png | #2 | Rebin Sulaka | DF | 56 pj | 1 goles
irq-hussein-ali.png | #3 | Hussein Ali | DF | 27 pj | 1 goles
irq-zaid-tahseen.png | #4 | Zaid Tahseen | DF | 28 pj | 1 goles
irq-akam-hashim.png | #5 | Akam Hashim | DF | 14 pj | 1 goles
irq-munaf-younis.png | #6 | Munaf Younis | DF | 34 pj | 1 goles
irq-youssef-amyn.png | #7 | Youssef Amyn | MF | 27 pj | 2 goles
irq-ibrahim-bayesh.png | #8 | Ibrahim Bayesh | MF | 76 pj | 8 goles
irq-ali-al-hamadi.png | #9 | Ali Al-Hamadi | FW | 20 pj | 5 goles
irq-mohanad-ali.png | #10 | Mohanad Ali | FW | 72 pj | 27 goles
irq-ahmed-qasem.png | #11 | Ahmed Qasem | FW | 3 pj | 0 goles
irq-jalal-hassan.png | #12 | Jalal Hassan (C) | GK | 102 pj | 0 goles
irq-ali-yousif.png | #13 | Ali Yousif | FW | 7 pj | 1 goles
irq-zidane-iqbal.png | #14 | Zidane Iqbal | MF | 25 pj | 2 goles
irq-ahmed-maknzi.png | #15 | Ahmed Maknzi | DF | 7 pj | 0 goles
irq-amir-al-ammari.png | #16 | Amir Al-Ammari | MF | 51 pj | 3 goles
irq-ali-jasim.png | #17 | Ali Jasim | FW | 36 pj | 2 goles
irq-aymen-hussein.png | #18 | Aymen Hussein | FW | 95 pj | 33 goles
irq-kevin-yakob.png | #19 | Kevin Yakob | MF | 9 pj | 0 goles
irq-aimar-sher.png | #20 | Aimar Sher | MF | 7 pj | 0 goles
irq-marko-farji.png | #21 | Marko Farji | FW | 12 pj | 0 goles
irq-ahmed-basil.png | #22 | Ahmed Basil | GK | 16 pj | 0 goles
irq-merchas-doski.png | #23 | Merchas Doski | DF | 31 pj | 1 goles
irq-zaid-ismail.png | #24 | Zaid Ismail | MF | 6 pj | 0 goles
irq-mustafa-saadoon.png | #25 | Mustafa Saadoon | DF | 17 pj | 0 goles
irq-frans-putros.png | #26 | Frans Putros | DF | 28 pj | 0 goles

# DT (caricatura — sin dorsal en plantel FIFA)

irq-graham-arnold.png | — | Graham Arnold | DT

# Solo nombres (pegar en generador):

Fahad Talib
Rebin Sulaka
Hussein Ali
Zaid Tahseen
Akam Hashim
Munaf Younis
Youssef Amyn
Ibrahim Bayesh
Ali Al-Hamadi
Mohanad Ali
Ahmed Qasem
Jalal Hassan
Ali Yousif
Zidane Iqbal
Ahmed Maknzi
Amir Al-Ammari
Ali Jasim
Aymen Hussein
Kevin Yakob
Aimar Sher
Marko Farji
Ahmed Basil
Merchas Doski
Zaid Ismail
Mustafa Saadoon
Frans Putros
