# New Zealand (NZL)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Darren Bazeley

# Formato: archivo | dorsal | nombre | pos | partidos | goles

nzl-max-crocombe.png | #1 | Max Crocombe | GK | 24 pj | 0 goles
nzl-tim-payne.png | #2 | Tim Payne | DF | 51 pj | 3 goles
nzl-francis-de-vries.png | #3 | Francis de Vries | DF | 20 pj | 1 goles
nzl-tyler-bindon.png | #4 | Tyler Bindon | DF | 25 pj | 3 goles
nzl-michael-boxall.png | #5 | Michael Boxall | DF | 63 pj | 1 goles
nzl-joe-bell.png | #6 | Joe Bell | MF | 32 pj | 1 goles
nzl-logan-rogerson.png | #7 | Logan Rogerson | FW | 18 pj | 2 goles
nzl-marko-stamenic.png | #8 | Marko Stamenić | MF | 39 pj | 3 goles
nzl-chris-wood.png | #9 | Chris Wood (C) | FW | 90 pj | 45 goles
nzl-sarpreet-singh.png | #10 | Sarpreet Singh | MF | 28 pj | 3 goles
nzl-elijah-just.png | #11 | Elijah Just | MF | 44 pj | 9 goles
nzl-alex-paulsen.png | #12 | Alex Paulsen | GK | 8 pj | 0 goles
nzl-liberato-cacace.png | #13 | Liberato Cacace | DF | 37 pj | 1 goles
nzl-alex-rufer.png | #14 | Alex Rufer | MF | 26 pj | 0 goles
nzl-nando-pijnaker.png | #15 | Nando Pijnaker | DF | 25 pj | 0 goles
nzl-finn-surman.png | #16 | Finn Surman | DF | 19 pj | 2 goles
nzl-kosta-barbarouses.png | #17 | Kosta Barbarouses | FW | 76 pj | 10 goles
nzl-ben-waine.png | #18 | Ben Waine | FW | 31 pj | 9 goles
nzl-ben-old.png | #19 | Ben Old | MF | 24 pj | 2 goles
nzl-callum-mccowatt.png | #20 | Callum McCowatt | MF | 32 pj | 4 goles
nzl-jesse-randall.png | #21 | Jesse Randall | FW | 11 pj | 2 goles
nzl-michael-woud.png | #22 | Michael Woud | GK | 6 pj | 0 goles
nzl-ryan-thomas.png | #23 | Ryan Thomas | MF | 25 pj | 3 goles
nzl-callan-elliot.png | #24 | Callan Elliot | DF | 11 pj | 0 goles
nzl-lachlan-bayliss.png | #25 | Lachlan Bayliss | MF | 4 pj | 0 goles
nzl-tommy-smith.png | #26 | Tommy Smith | DF | 56 pj | 2 goles

# Solo nombres (pegar en generador):

Max Crocombe
Tim Payne
Francis de Vries
Tyler Bindon
Michael Boxall
Joe Bell
Logan Rogerson
Marko Stamenić
Chris Wood
Sarpreet Singh
Elijah Just
Alex Paulsen
Liberato Cacace
Alex Rufer
Nando Pijnaker
Finn Surman
Kosta Barbarouses
Ben Waine
Ben Old
Callum McCowatt
Jesse Randall
Michael Woud
Ryan Thomas
Callan Elliot
Lachlan Bayliss
Tommy Smith
