# Panama (PAN)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Thomas Christiansen

# Formato: archivo | dorsal | nombre | pos | partidos | goles

pan-luis-mejia.png | #1 | Luis Mejía | GK | 56 pj | 0 goles
pan-cesar-blackman.png | #2 | César Blackman | DF | 40 pj | 3 goles
pan-jose-cordoba.png | #3 | José Córdoba | DF | 32 pj | 1 goles
pan-fidel-escobar.png | #4 | Fidel Escobar | DF | 99 pj | 4 goles
pan-edgardo-farina.png | #5 | Edgardo Fariña | DF | 18 pj | 0 goles
pan-cristian-martinez.png | #6 | Cristian Martínez | MF | 66 pj | 2 goles
pan-jose-luis-rodriguez.png | #7 | José Luis Rodríguez | MF | 70 pj | 8 goles
pan-adalberto-carrasquilla.png | #8 | Adalberto Carrasquilla | MF | 73 pj | 3 goles
pan-tomas-rodriguez.png | #9 | Tomás Rodríguez | FW | 13 pj | 4 goles
pan-ismael-diaz.png | #10 | Ismael Díaz | MF | 57 pj | 17 goles
pan-yoel-barcenas.png | #11 | Yoel Bárcenas | MF | 104 pj | 10 goles
pan-cesar-samudio.png | #12 | César Samudio | GK | 5 pj | 0 goles
pan-jiovany-ramos.png | #13 | Jiovany Ramos | DF | 23 pj | 2 goles
pan-carlos-harvey.png | #14 | Carlos Harvey | DF | 28 pj | 3 goles
pan-eric-davis.png | #15 | Eric Davis | DF | 107 pj | 9 goles
pan-andres-andrade.png | #16 | Andrés Andrade | DF | 50 pj | 1 goles
pan-jose-fajardo.png | #17 | José Fajardo | FW | 68 pj | 17 goles
pan-cecilio-waterman.png | #18 | Cecilio Waterman | FW | 55 pj | 15 goles
pan-alberto-quintero.png | #19 | Alberto Quintero | MF | 141 pj | 7 goles
pan-anibal-godoy.png | #20 | Aníbal Godoy (C) | MF | 159 pj | 4 goles
pan-cesar-yanis.png | #21 | César Yanis | MF | 56 pj | 5 goles
pan-orlando-mosquera.png | #22 | Orlando Mosquera | GK | 48 pj | 0 goles
pan-michael-amir-murillo.png | #23 | Michael Amir Murillo | DF | 94 pj | 9 goles
pan-azarias-londono.png | #24 | Azarias Londoño | FW | 11 pj | 0 goles
pan-roderick-miller.png | #25 | Roderick Miller | DF | 50 pj | 2 goles
pan-jorge-gutierrez.png | #26 | Jorge Gutiérrez | DF | 18 pj | 0 goles

# Solo nombres (pegar en generador):

Luis Mejía
César Blackman
José Córdoba
Fidel Escobar
Edgardo Fariña
Cristian Martínez
José Luis Rodríguez
Adalberto Carrasquilla
Tomás Rodríguez
Ismael Díaz
Yoel Bárcenas
César Samudio
Jiovany Ramos
Carlos Harvey
Eric Davis
Andrés Andrade
José Fajardo
Cecilio Waterman
Alberto Quintero
Aníbal Godoy
César Yanis
Orlando Mosquera
Michael Amir Murillo
Azarias Londoño
Roderick Miller
Jorge Gutiérrez
