# Qatar (QAT)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Julen Lopetegui

# Formato: archivo | dorsal | nombre | pos | partidos | goles

qat-mahmud-abunada.png | #1 | Mahmud Abunada | GK | 5 pj | 0 goles
qat-pedro-miguel.png | #2 | Pedro Miguel | DF | 105 pj | 3 goles
qat-lucas-mendes.png | #3 | Lucas Mendes | DF | 25 pj | 1 goles
qat-issa-laye.png | #4 | Issa Laye | DF | 4 pj | 0 goles
qat-jassem-gaber.png | #5 | Jassem Gaber | DF | 32 pj | 1 goles
qat-abdulaziz-hatem.png | #6 | Abdulaziz Hatem | MF | 117 pj | 11 goles
qat-ahmed-alaaeldin.png | #7 | Ahmed Alaaeldin | FW | 68 pj | 9 goles
qat-edmilson-junior.png | #8 | Edmilson Junior | FW | 16 pj | 0 goles
qat-mohammed-muntari.png | #9 | Mohammed Muntari | FW | 67 pj | 16 goles
qat-hassan-al-haydos.png | #10 | Hassan Al-Haydos (C) | FW | 186 pj | 41 goles
qat-akram-afif.png | #11 | Akram Afif | FW | 125 pj | 39 goles
qat-karim-boudiaf.png | #12 | Karim Boudiaf | MF | 118 pj | 5 goles
qat-ayoub-al-oui.png | #13 | Ayoub Al-Oui | DF | 6 pj | 0 goles
qat-homam-ahmed.png | #14 | Homam Ahmed | DF | 68 pj | 3 goles
qat-yusuf-abdurisag.png | #15 | Yusuf Abdurisag | FW | 39 pj | 3 goles
qat-boualem-khoukhi.png | #16 | Boualem Khoukhi | DF | 116 pj | 20 goles
qat-ahmed-al-ganehi.png | #17 | Ahmed Al-Ganehi | MF | 13 pj | 1 goles
qat-sultan-al-brake.png | #18 | Sultan Al-Brake | DF | 17 pj | 0 goles
qat-almoez-ali.png | #19 | Almoez Ali | FW | 115 pj | 55 goles
qat-ahmed-fathy.png | #20 | Ahmed Fathy | MF | 48 pj | 0 goles
qat-salah-zakaria.png | #21 | Salah Zakaria | GK | 8 pj | 0 goles
qat-meshaal-barsham.png | #22 | Meshaal Barsham | GK | 52 pj | 0 goles
qat-assim-madibo.png | #23 | Assim Madibo | MF | 51 pj | 0 goles
qat-tahsin-jamshid.png | #24 | Tahsin Jamshid | FW | 3 pj | 0 goles
qat-al-hashmi-al-hussain.png | #25 | Al-Hashmi Al-Hussain | DF | 8 pj | 0 goles
qat-mohamed-manai.png | #26 | Mohamed Manai | FW | 10 pj | 0 goles

# Solo nombres (pegar en generador):

Mahmud Abunada
Pedro Miguel
Lucas Mendes
Issa Laye
Jassem Gaber
Abdulaziz Hatem
Ahmed Alaaeldin
Edmilson Junior
Mohammed Muntari
Hassan Al-Haydos
Akram Afif
Karim Boudiaf
Ayoub Al-Oui
Homam Ahmed
Yusuf Abdurisag
Boualem Khoukhi
Ahmed Al-Ganehi
Sultan Al-Brake
Almoez Ali
Ahmed Fathy
Salah Zakaria
Meshaal Barsham
Assim Madibo
Tahsin Jamshid
Al-Hashmi Al-Hussain
Mohamed Manai
