# South Africa (RSA)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Hugo Broos

# Formato: archivo | dorsal | nombre | pos | partidos | goles

rsa-ronwen-williams.png | #1 | Ronwen Williams (C) | GK | 62 pj | 0 goles
rsa-thabang-matuludi.png | #2 | Thabang Matuludi | DF | 3 pj | 0 goles
rsa-khulumani-ndamane.png | #3 | Khulumani Ndamane | DF | 5 pj | 0 goles
rsa-teboho-mokoena.png | #4 | Teboho Mokoena | MF | 51 pj | 9 goles
rsa-thalente-mbatha.png | #5 | Thalente Mbatha | MF | 15 pj | 3 goles
rsa-aubrey-modiba.png | #6 | Aubrey Modiba | DF | 44 pj | 3 goles
rsa-oswin-appollis.png | #7 | Oswin Appollis | FW | 26 pj | 8 goles
rsa-tshepang-moremi.png | #8 | Tshepang Moremi | FW | 10 pj | 1 goles
rsa-lyle-foster.png | #9 | Lyle Foster | FW | 27 pj | 10 goles
rsa-relebohile-mofokeng.png | #10 | Relebohile Mofokeng | FW | 13 pj | 0 goles
rsa-themba-zwane.png | #11 | Themba Zwane | MF | 54 pj | 12 goles
rsa-thapelo-maseko.png | #12 | Thapelo Maseko | FW | 10 pj | 1 goles
rsa-sphephelo-sithole.png | #13 | Sphephelo Sithole | MF | 28 pj | 1 goles
rsa-mbekezeli-mbokazi.png | #14 | Mbekezeli Mbokazi | DF | 10 pj | 1 goles
rsa-iqraam-rayners.png | #15 | Iqraam Rayners | FW | 14 pj | 4 goles
rsa-sipho-chaine.png | #16 | Sipho Chaine | GK | 4 pj | 0 goles
rsa-evidence-makgopa.png | #17 | Evidence Makgopa | FW | 26 pj | 6 goles
rsa-samukele-kabini.png | #18 | Samukele Kabini | DF | 6 pj | 0 goles
rsa-nkosinathi-sibisi.png | #19 | Nkosinathi Sibisi | DF | 20 pj | 0 goles
rsa-khuliso-mudau.png | #20 | Khuliso Mudau | DF | 32 pj | 1 goles
rsa-ime-okon.png | #21 | Ime Okon | DF | 8 pj | 1 goles
rsa-ricardo-goss.png | #22 | Ricardo Goss | GK | 5 pj | 0 goles
rsa-jayden-adams.png | #23 | Jayden Adams | MF | 5 pj | 0 goles
rsa-olwethu-makhanya.png | #24 | Olwethu Makhanya | DF | 1 pj | 0 goles
rsa-kamogelo-sebelebele.png | #25 | Kamogelo Sebelebele | FW | 3 pj | 0 goles
rsa-bradley-cross.png | #26 | Bradley Cross | DF | 1 pj | 0 goles

# Solo nombres (pegar en generador):

Ronwen Williams
Thabang Matuludi
Khulumani Ndamane
Teboho Mokoena
Thalente Mbatha
Aubrey Modiba
Oswin Appollis
Tshepang Moremi
Lyle Foster
Relebohile Mofokeng
Themba Zwane
Thapelo Maseko
Sphephelo Sithole
Mbekezeli Mbokazi
Iqraam Rayners
Sipho Chaine
Evidence Makgopa
Samukele Kabini
Nkosinathi Sibisi
Khuliso Mudau
Ime Okon
Ricardo Goss
Jayden Adams
Olwethu Makhanya
Kamogelo Sebelebele
Bradley Cross
