# Scotland (SCO)
# Fuente: Wikipedia — 2026 FIFA World Cup squads
# DT: Steve Clarke

# Formato: archivo | dorsal | nombre | pos | partidos | goles

sco-angus-gunn.png | #1 | Angus Gunn | GK | 22 pj | 0 goles
sco-aaron-hickey.png | #2 | Aaron Hickey | DF | 21 pj | 0 goles
sco-andy-robertson.png | #3 | Andy Robertson (C) | DF | 94 pj | 4 goles
sco-scott-mctominay.png | #4 | Scott McTominay | MF | 70 pj | 15 goles
sco-grant-hanley.png | #5 | Grant Hanley | DF | 68 pj | 2 goles
sco-kieran-tierney.png | #6 | Kieran Tierney | DF | 56 pj | 2 goles
sco-john-mcginn.png | #7 | John McGinn | MF | 86 pj | 20 goles
sco-tyler-fletcher.png | #8 | Tyler Fletcher | MF | 2 pj | 0 goles
sco-lyndon-dykes.png | #9 | Lyndon Dykes | FW | 51 pj | 10 goles
sco-che-adams.png | #10 | Ché Adams | FW | 47 pj | 13 goles
sco-ryan-christie.png | #11 | Ryan Christie | MF | 68 pj | 10 goles
sco-liam-kelly.png | #12 | Liam Kelly | GK | 3 pj | 0 goles
sco-jack-hendry.png | #13 | Jack Hendry | DF | 38 pj | 3 goles
sco-ross-stewart.png | #14 | Ross Stewart | FW | 3 pj | 0 goles
sco-john-souttar.png | #15 | John Souttar | DF | 24 pj | 2 goles
sco-dominic-hyam.png | #16 | Dominic Hyam | DF | 4 pj | 0 goles
sco-ben-gannon-doak.png | #17 | Ben Gannon-Doak | FW | 14 pj | 1 goles
sco-george-hirst.png | #18 | George Hirst | FW | 10 pj | 1 goles
sco-lewis-ferguson.png | #19 | Lewis Ferguson | MF | 24 pj | 1 goles
sco-lawrence-shankland.png | #20 | Lawrence Shankland | FW | 20 pj | 7 goles
sco-craig-gordon.png | #21 | Craig Gordon | GK | 84 pj | 0 goles
sco-nathan-patterson.png | #22 | Nathan Patterson | DF | 26 pj | 1 goles
sco-kenny-mclean.png | #23 | Kenny McLean | MF | 58 pj | 3 goles
sco-anthony-ralston.png | #24 | Anthony Ralston | DF | 27 pj | 1 goles
sco-findlay-curtis.png | #25 | Findlay Curtis | FW | 3 pj | 1 goles
sco-scott-mckenna.png | #26 | Scott McKenna | DF | 50 pj | 1 goles

# Solo nombres (pegar en generador):

Angus Gunn
Aaron Hickey
Andy Robertson
Scott McTominay
Grant Hanley
Kieran Tierney
John McGinn
Tyler Fletcher
Lyndon Dykes
Ché Adams
Ryan Christie
Liam Kelly
Jack Hendry
Ross Stewart
John Souttar
Dominic Hyam
Ben Gannon-Doak
George Hirst
Lewis Ferguson
Lawrence Shankland
Craig Gordon
Nathan Patterson
Kenny McLean
Anthony Ralston
Findlay Curtis
Scott McKenna
